tshirt,positive_pant,detailed,medium,low,empty,dif
e6d568bd3151263ccf68d099efef1fc9,d8fb049951aa96e01c0292fd7b496527,"An image of grey fleece jogger track pants with a tapered jogger fit, elastic waistband and cuffs, and purple snap-button side stripes",Generate an image of grey tapered jogger track pants with snap-button side stripes,Generate an image of jogger track pants, ,"A photo of a Track Pants, on white background, high quality."
e6d568bd3151263ccf68d099efef1fc9,d8fb049951aa96e01c0292fd7b496527,"An image of grey fleece jogger track pants with a tapered jogger fit, elastic waistband and cuffs, and purple snap-button side stripes",Generate an image of grey tapered jogger track pants with snap-button side stripes,Generate an image of jogger track pants, ,"A photo of a Joggers, on white background, high quality."
bd7014e3f4944da483a026a46fde2175,fde327a34746c95039289ef09bbe5b41,"An image of kids' blue denim suspender jeans made from sturdy cotton denim with a classic straight-leg fit, adjustable suspenders, metal clips, and front pockets",Generate an image of kids' blue straight-leg suspender jeans,Generate an image of suspender jeans, ,"A photo of a Jeans, on white background, high quality."
af9d30ea8be201f33531d3b79db14a92,285c16d0aac699ae755f628ffc78c36c,"An image of  black fleece jogger sweatpants featuring a regular fit, elastic drawstring waistband, and ribbed cuffs",Generate an image of  black jogger sweatpants with a relaxed fit,Generate an image of jogger sweatpants, ,"A photo of a Sweatpants, on white background, high quality."
2872063172ada36ec6cfde8a38672431,5831b87807ef2bcd16501e74ac6e6b08,"An image of dark pink denim overall shorts in a relaxed fit, featuring adjustable shoulder straps, a front bib pocket, metal side buttons, and cuffed hems",Generate an image of dark pink denim overall shorts with a relaxed fit,Generate an image of overall shorts, ,"A photo of a Overall Shorts, on white background, high quality."
f44743f4162c5599cb2cc2683284b8ab,69357064227b6b326ca7808b60b39473,"Generate an image of distressed blue denim shorts featuring a mid-rise relaxed fit, frayed hems, and a sequin cat patch on the pocket",Generate an image of distressed denim shorts with a relaxed fit and a sequin cat patch,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
370ab8995d628a160f499e06697ff43d,1f913708173b01c4ba03b300d14dd8d0,"An image of olive green cotton cargo jogger pants featuring a relaxed tapered fit, drawstring elastic waistband, side cargo pockets, and elastic cuffed ankles",Generate an image of olive green cargo jogger pants with a tapered fit,Generate an image of cargo jogger pants, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
3404940544126d8ed8caa7943639b0c8,e9d77be9fa84b8b04c3205fa5be8d749,"An image of  white linen wide-leg trousers featuring a relaxed fit, high-rise waistband, pressed front creases, and side pockets",Generate an image of  wide-leg linen trousers in white,Generate an image of linen trousers, ,"A photo of a Trousers, on white background, high quality."
9ddae51b4e86e4a0e9654683aa581c6f,4a743a00ea8102e157b7a6e49847afdb,"An image of light wash blue denim mom jeans featuring a high waist, tapered legs, classic five-pocket design, relaxed fit",Generate an image of light wash high-waist mom jeans with tapered legs,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
bed5f30cac4930e4e649a3c56c80f855,745fe45a59b4a6d5bc71a56dce63e6f5,An image of black high-waisted distressed denim cutoff shorts with frayed hems and a snug fit,Generate an image of black high-waisted denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Shorts, on white background, high quality."
12cf0ff1e03c3e1e7a6cf617c03ed2c2,1164b7d3a5add6e9ed508c1210ad49e8,"An image of light-wash distressed high-waist denim cutoff shorts with frayed hems, classic five-pocket styling, and a relaxed fit",Generate an image of light-wash high-waist denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Denim Shorts, on white background, high quality."
12cf0ff1e03c3e1e7a6cf617c03ed2c2,1164b7d3a5add6e9ed508c1210ad49e8,"An image of light-wash distressed high-waist denim cutoff shorts with frayed hems, classic five-pocket styling, and a relaxed fit",Generate an image of light-wash high-waist denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Shorts, on white background, high quality."
18a0ed0a21c8c18042619804452ae899,d24331c700b5d690f1cb0030d1fa8ac0,An image of blue cotton denim high-waist wide-leg cropped jeans with a raw hem,Generate an image of blue high-waist wide-leg cropped jeans,Generate an image of wide-leg jeans, ,"A photo of a Jeans, on white background, high quality."
a51058f1e0bb01f270f3593856a5b0b9,2dd001c7e45686d28b8b4ba369f0d437,"An image of light wash cotton denim shorts with a relaxed fit, featuring an elastic waistband and a ruffle hem",Generate an image of relaxed-fit light wash denim shorts,Generate an image of denim shorts with a ruffle hem, ,"A photo of a Denim Shorts, on white background, high quality."
a51058f1e0bb01f270f3593856a5b0b9,2dd001c7e45686d28b8b4ba369f0d437,"An image of light wash cotton denim shorts with a relaxed fit, featuring an elastic waistband and a ruffle hem",Generate an image of relaxed-fit light wash denim shorts,Generate an image of denim shorts with a ruffle hem, ,"A photo of a Shorts, on white background, high quality."
135ebf9f366f55895e0d128094fd6435,c13c1a38637819e75ed77de42698d7f5,"An image of  medium-wash denim jeans in a straight-leg fit, crafted from sturdy cotton denim with classic five-pocket styling, belt loops, and a button fly",Generate an image of medium-wash straight-leg denim jeans with a regular fit,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
18796360c93caf45d337aa099f5a63d9,b30f4b9d95fe924d097658824df65da1,"An image of olive green cotton cargo pants with a drawstring waistband, relaxed fit, multiple flap pockets, and reinforced stitching",Generate an image of relaxed fit olive cargo pants with a drawstring waist,Generate an image of cargo pants, ,"A photo of a Cargo Pants, on white background, high quality."
6d5af949ec2cd257c9cd0c803a8262ec,b8ab1a61b500c35f8f382aada9f21c2a,An image of  medium wash cotton denim skinny jeans featuring a contrast cuff hem,Generate an image of medium wash skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
2a2974c11f782257bc28054631bdf746,25561f18c9f380bd20d7e659c01e525e,"An image of black and red streetwear graphic jogger sweatpants in a cotton blend, tapered fit, featuring bold prints and functional side zippers",Generate an image of black and red graphic jogger sweatpants with a tapered fit and side zippers,Generate an image of jogger sweatpants with side zippers, ,"A photo of a Sweatpants, on white background, high quality."
0c723f05e7541ac18e358527413be382,0999d1e459482b6e5d0b01274957a8e2,"Generate an image of charcoal grey cotton cargo jogger pants in a relaxed tapered fit, featuring multiple flap cargo pockets, a drawstring elastic waistband, and elastic cuffs",Generate an image of charcoal grey cargo jogger pants with a tapered fit and elastic cuffs,Generate an image of cargo jogger pants, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
4834edd084a3f199c3d3381314c9bdfd,f00f104e93da8147d154744b6f8c78b5,An image of light wash cropped wide-leg denim jeans with a high-rise waist and raw edge hem,Generate an image of light wash cropped wide-leg jeans,Generate an image of cropped jeans, ,"A photo of a Jeans, on white background, high quality."
6bf7e7515b31e101118d9509fa40aa0e,08c765b9889aba2db6fe4c1c1cbd468a,"An image of  black washed denim mom jeans with a high waist, straight-leg fit, and classic five-pocket details",Generate an image of black washed high-waist straight-leg mom jeans,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
83f051a88ebcf012a69efd063e035547,e35b2d4cf337e8efbf4580a3163c2944,"An image of black high-waisted  skinny jeans made of stretch denim, featuring side buttons and a form-fitting silhouette",Generate an image of black high-waisted skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
7a0782d7e3c5411bb2c1fbde54ca1f94,eff2a0816099eb5067ae6d3976b6d1a3,"An image of black slim-fit jogger sweatpants in soft cotton jersey, featuring a drawstring waistband, tapered legs, and ribbed cuffs",Generate an image of black slim-fit jogger sweatpants with a drawstring waist,Generate an image of jogger sweatpants, ,"A photo of a Sweatpants, on white background, high quality."
606f7e41adf252e75e52ac523e029d4b,4fd220f3dbf35098bd5e68ba735feb07,An image of black high-waist  skinny denim jeans with a form-fitting silhouette,Generate an image of black skinny high-waist jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
b353d6f3dfa28fc314cb4c18c819724c,db80173902afccba6eb130a41fc8f160,"An image of slim-fit black cotton chino pants with belt loops, side slant pockets, and back welt pockets",Generate an image of slim-fit black chino pants,Generate an image of chino pants, ,"A photo of a Chinos, on white background, high quality."
a8a9e11ce49094e50e4dbb2efe3fde96,ce59960f7ed32a783532ce255c94cf19,An image of dark blue denim high-waisted straight-leg jeans with classic five-pocket styling and belt loops,Generate an image of dark blue high-waisted straight-leg jeans,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
c9ab5a4067f43398402c2742c5346d29,cc389ada93b108fd1e24b5b009496bbd,"An image of blue distressed denim shorts made from mid-wash denim, featuring a comfortable elastic waistband, shimmering sequin embellishments, relaxed fit, and frayed cut-off hems",Generate an image of relaxed-fit distressed denim shorts with an elastic waistband,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
d532c136b5a540c4210c1b11daf2a7b4,c0d42a9e2c3b6e53b6d49d81029e42ee,"An image of black nylon techwear cargo shorts with a relaxed fit, multiple cargo pockets, and adjustable strap details",Generate an image of black relaxed-fit techwear cargo shorts,Generate an image of cargo shorts, ,"A photo of a Cargo Shorts, on white background, high quality."
6118a8ee9cc1db4bad519d5a402ffc63,360074ed3f81c0c67a3e07da4eaecaa9,"An image of light wash, high-rise distressed denim shorts with a delicate black lace hem, crafted from cotton denim and cut to a slim mid-thigh fit",Generate an image of light wash high-rise denim shorts with distressed details,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
0cdd8ec6594d7651743c6ca103272483,1eaa6bff782488a35474e2c296ae5afd,"An image of light wash denim high-rise straight-leg  jeans with classic five-pocket styling, button fly, metal rivets, and subtle fading",Generate an image of light wash high-rise straight-leg jeans,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
ef8a4dc1ff65d219e288b07104d52c84,d9d3ccafcb97cec536cb7dc921a7d14c,"Generate an image of navy cotton jogger sweatpants in a slim fit, featuring an elastic drawstring waistband and ribbed ankle cuffs",Generate an image of slim-fit navy jogger sweatpants,Generate an image of jogger sweatpants, ,"A photo of a Sweatpants, on white background, high quality."
b63425a4b7cf47890555a2dba7857bd3,5caa55bf449d8b15b23d83970b0e7a21,Generate an image of  two-tone blue denim straight-leg jeans with paneled construction and frayed side stripe detailing,Generate an image of two-tone straight-leg jeans,Generate an image of jeans, ,"A photo of a Jeans, on white background, high quality."
fe6e63f7c54047d739371d67af055f22,dda3dd978301719179a84b49b8756d5a,"An image of  heavily distressed high-waisted blue cotton-denim boyfriend jeans with a relaxed fit, featuring large frayed rips and faded wash",Generate an image of relaxed-fit blue boyfriend jeans with a high waist,Generate an image of distressed boyfriend jeans, ,"A photo of a Jeans, on white background, high quality."
04f97f12530781ba2614231580fb7df4,385d8005b8a549d952e903d7c87e8865,"An image of light grey cotton casual trousers featuring a straight-leg fit, drawstring waistband, and relaxed silhouette",Generate an image of light grey straight-leg casual trousers,Generate an image of casual trousers, ,"A photo of a Trousers, on white background, high quality."
8d791b0c01ed65b94a53adb4908f92b3,130286a87a7b6bc5d04e3e5fa04296a0,An image of black stretch cotton-blend pull-on skinny jeggings with a mid-rise elastic waistband and subtle faux pocket detailing,Generate an image of black skinny pull-on jeggings,Generate an image of jeggings, ,"A photo of a Jeans, on white background, high quality."
53e489397663478f587a6da37edfc0b7,92cd5be32358cdf9ab078d5992900342,"An image of black distressed skinny denim jeans in a form-fitting cut, crafted from stretch denim, featuring raw unfinished hems and subtle frayed wear marks",Generate an image of black skinny denim jeans with raw hems,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
23df548d8fbe3b66f84602be1b40cc6d,a767bdf66a96d742490ff0033865cfc5,"An image of blue denim flare jeans in a flared fit, featuring raw hems and side slits",Generate an image of blue flare jeans in denim,Generate an image of flare jeans, ,"A photo of a Jeans, on white background, high quality."
fc2a72a3add9d47502200bb36064b384,a47efa8950a373cc7a5993cf735d4ff0,An image of light wash blue cotton denim straight-leg jeans featuring distressed patchwork panels and subtle frayed edges,Generate an image of light wash straight-leg jeans with patchwork distressing,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
d318ce1c44923ba3a5468366ab343811,946f597129bc27173502f0380e225da6,An image of grey washed denim skinny‐fit jeans featuring decorative side embroidery and classic five-pocket styling,Generate an image of grey skinny jeans with side embroidery,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
2cb5c6ee61a05d316514c3cceeea0810,5b80370facf02b0b00d8dd7d4a087975,An image of high-rise black denim straight-leg jeans featuring five-pocket styling and bold contrast stitching,Generate an image of black high-rise straight-leg jeans,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
353140e9665170fcf60ed59eafd6841c,e857da1ceeb45903a48c71a35dc3026e,"An image of light wash denim high-rise wide-leg jeans with a classic five-pocket design, belt loops, and a button fly",Generate an image of light wash high-rise wide-leg jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
554275bbb51cac0e6ec62e4165d93347,bee80cc54469f9a105ce513a283599f0,Generate an image of black denim cutoff shorts with a mid-rise relaxed fit and frayed raw hems,Generate an image of black relaxed-fit denim cutoff shorts,Generate an image of denim cutoff shorts, ,"A photo of a Denim Shorts, on white background, high quality."
5591c669953edf43e823f3f33a1d81e1,d5141a438b8faf82936ba423fd34df07,"A pair of  blue fleece-lined denim jeans with a high-waisted straight-leg fit, featuring pink faux fur cuffs and a matching faux fur belt",Generate an image of straight-leg fleece-lined denim jeans,Generate an image of denim jeans, ,"A photo of a Jeans, on white background, high quality."
7025d517a5e94faf3e184cc9beedd73a,44f62f552579de77a99bae36650afc74,"An image of  dark blue denim jeans with a high waist, straight-leg fit, classic five-pocket design, belt loops, and a zip fly",Generate an image of  straight-leg high-waist denim jeans in dark blue,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
13058d6e92d27dc9a1c938cec9bcc72a,2fe42cf8ee54c9d923f650cd43ecf072,An image of olive green fleece cargo shorts in a relaxed fit featuring contrasting tan utility pockets,Generate an image of olive green relaxed-fit cargo shorts,Generate an image of cargo shorts, ,"A photo of a Cargo Shorts, on white background, high quality."
3e55ddc848d54f386f3cc857200e414a,5c8c31a1d1aca727e86faa1abcce701b,"An image of light-wash distressed bootcut denim jeans , crafted from cotton denim with a mid-rise fit, featuring frayed knees, subtle whiskering, and classic five-pocket styling",Generate an image of light-wash bootcut denim jeans with a relaxed fit and distressed details,Generate an image of bootcut jeans, ,"A photo of a Jeans, on white background, high quality."
ce56ed14a0c22b9d560105cb7265bfe8,998c44f30bed7aa75383d1220cc42bac,An image of dark blue denim high-rise skinny jeans  featuring a step hem and slim fit,Generate an image of dark blue high-rise skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
5067bf6fc50415a1c763443143d057c9,ea0bd608bf87b6d8607ae91f3cb22283,"An image of black high-waisted distressed  skinny jeans made from stretch denim, featuring ripped knees and a snug figure-hugging fit",Generate an image of black high-waisted skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
fa558c78fe4d764e1869dcde25175b0d,cdb72bc450a47c63cbd621d607ba86a9,"An image of  black polyester track jogger pants in a slim tapered fit, featuring an elastic waistband, ribbed cuffs, and bold red and white side stripes",Generate an image of black tapered track jogger pants with red and white side stripes,Generate an image of jogger pants with side stripes, ,"A photo of a Track Pants, on white background, high quality."
fa558c78fe4d764e1869dcde25175b0d,cdb72bc450a47c63cbd621d607ba86a9,"An image of  black polyester track jogger pants in a slim tapered fit, featuring an elastic waistband, ribbed cuffs, and bold red and white side stripes",Generate an image of black tapered track jogger pants with red and white side stripes,Generate an image of jogger pants with side stripes, ,"A photo of a Track Jogger Pants, on white background, high quality."
59e34322ba4da14bb1a32a2aec222ef9,5cc2a37c6e4bd692022577ba4f2aec22,"An image of black high-waisted denim shorts made from sturdy cotton with a fitted silhouette, featuring a front zipper and raw frayed hem",Generate an image of black high-waisted fitted denim shorts,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
4d38743e3c7ac1ea1e16f385e84399c2,ee4ec76cf088acfe8dc3d06ab0b2ec5d,"Generate an image of washed black high-waisted skinny denim jeans featuring a raw cut hem, subtle fading, and classic five-pocket construction",Generate an image of washed black high-waisted skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
e7e33008afc5da51452fc878e585c20e,4ec914f452e7815856d84e0a27c28d05,An image of  black distressed skinny denim jeans featuring ripped details and a form-fitting silhouette,Generate an image of distressed skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
ccecfbe013f3bc6aee245bdbe3a2c0d0,e71cfe4536476a1b50df878342bd41ef,"An image of light-wash high-waisted tapered mom jeans in cotton denim, relaxed through the hips with tapered legs, classic five-pocket styling, belt loops, and a button fly",Generate an image of light-wash high-waist tapered mom jeans,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
77721d0d00588ab71f6372aed96494eb,c79a52e39d4531bb88dac9eee66ccfb5,"An image of black cotton Bermuda shorts with a drawstring waistband, relaxed knee-length fit, and white logo print",Generate an image of black relaxed-fit Bermuda shorts,Generate an image of Bermuda shorts, ,"A photo of a Bermuda Shorts, on white background, high quality."
4aafeaf679178790d252e1d6dad4b7fa,a8bff0dc8926ec657fddd86f414b5458,"An image of blue mid-wash denim skinny jeans with a high waist, classic five-pocket styling, button fly, and belt loops",Generate an image of blue mid-wash high-waist skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
310910bdb58e228926c317817f1a4a95,c049b352721d7809ce6d70c1bb35464c,An image of  white denim high-waist skinny jeans featuring a raw hem and classic five-pocket styling,Generate an image of white high-waist skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
6118a8ee9cc1db4bad519d5a402ffc63,fe138d96aef97dc878bf417321203330,An image of light wash high-waisted distressed denim cuffed shorts with frayed accents and turned-up hems,Generate an image of light wash high-waisted denim shorts,Generate an image of cuffed denim shorts, ,"A photo of a Shorts, on white background, high quality."
b5acafb5ceb9398dac97b4b28201d182,defc54456478ef45cfbf3217d5f0ad58,"An image of  black denim straight-leg jeans with distressed paint-splatter accents, classic five-pocket construction, belt-loop waistband, and regular fit",Generate an image of black straight-leg jeans with paint-splatter detailing,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
ee8d725584df814c63117aa5e6f9c2cc,cdf0546963f3b3c7d14962b6dbe63412,"An image of  charcoal gray stretch denim skinny ankle jeans featuring front seam detailing and a raw, frayed hem",Generate an image of charcoal gray skinny ankle jeans with a raw hem,Generate an image of skinny ankle jeans, ,"A photo of a Jeans, on white background, high quality."
9ca95d068fdeeb3a3d04361c6fc4b60f,4e108f516bf5644836d84166ac567659,"Generate an image of blue denim high-waisted skinny ankle jeans featuring a classic five-pocket design, zip fly closure, and subtle fading along the legs",Generate an image of high-waisted skinny ankle jeans in blue,Generate an image of ankle jeans, ,"A photo of a Jeans, on white background, high quality."
719bfb8c81d150d787b659e17501ef1e,64aab990c7455531572ab69592b99c89,"An image of slim-fit khaki cotton chino pants with a mid-rise waist, belt loops, side slash pockets, and back welt pockets",Generate an image of slim-fit khaki chino pants,Generate an image of chino pants, ,"A photo of a Chinos, on white background, high quality."
028ab99e60e1a6db20aae54a92948e93,e1cbc7515e2d72cdee4fb9384b0e592b,"An image of blue stretch denim skinny jeans featuring a high waist, ankle length, and split hem detail",Generate an image of blue high-waist skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
486744cd614fd7cf1a288dafa4c1d8f8,58528e8c3e5d7a1c01c9598be539c13b,"An image of light wash denim skinny jeans featuring distressed textures and ripped knees, fitted silhouette throughout",Generate an image of light wash skinny jeans with a slim fit,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
0c1d0d02e482557b32cc43dd83f8335a,028708fb06e1b0c11c76cde5133368b4,"An image of light-wash denim skinny jeans  with ripped knees, crafted from stretch cotton denim for a form-fitting silhouette",Generate an image of light-wash skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
5cba1c0bc33580828f6c073ff7a573e0,4aebc6e8bbce4ade37a6d65d79ca2901,"An image of light wash denim shorts with a high waist, cuffed hems, classic five-pocket styling, relaxed fit, made from cotton denim",Generate an image of high waisted cuffed denim shorts,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
9d605ec14a004916fe19f87d5cecd9de,9d893bf71f0b0caabb2419fb4d487a5a,"Generate an image of  dark wash high-rise skinny denim jeans with classic five-pocket styling, belt loops, and contrast stitching",Generate an image of dark wash high-rise skinny jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
8a6fa8df4e53879a4dbe6c4276c8904d,4d9716e2dbb2f3a3db31e928fe6285cb,"An image of loose-fit blue denim Bermuda shorts featuring a drawstring waistband, mid-thigh length, and classic five-pocket detailing",Generate an image of loose fit denim Bermuda shorts with a drawstring waist,Generate an image of denim bermuda shorts, ,"A photo of a Bermuda Shorts, on white background, high quality."
499211d06ee3f8c18584a3ad59c127a7,b6e4eeab1337a17bf2809de204a51f2d,"An image of blue denim straight-leg jeans made from sturdy denim, featuring distressed detailing and raw hems",Generate an image of straight-leg blue denim jeans,Generate an image of jeans, ,"A photo of a Jeans, on white background, high quality."
d44432d811277819a0c63c51f501380e,b85440182da56599305f9f293b18b71d,"An image of dark grey denim mom jeans with a high-waisted, straight-leg fit and ripped details",Generate an image of high-waisted straight-leg mom jeans in dark grey,Generate an image of ripped mom jeans, ,"A photo of a Jeans, on white background, high quality."
aad2de17adf0b143becbbdfe83cf2b93,40a82fb6c891857258700eed5d6448af,"An image of black distressed denim skinny jeans , featuring a tight fit and frayed hems at the ankles",Generate an image of black skinny distressed jeans,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
cc01dc69936351954cf805360214998f,8eab4309bc46b01642cce90aa1fd7183,"Generate an image of black nylon cargo jogger pants with a relaxed tapered fit, elastic drawstring waistband, multiple flap cargo pockets, and ribbed ankle cuffs",Generate an image of black tapered cargo jogger pants,Generate an image of cargo jogger pants, ,"A photo of a Cargo Joggers, on white background, high quality."
cc01dc69936351954cf805360214998f,8eab4309bc46b01642cce90aa1fd7183,"Generate an image of black nylon cargo jogger pants with a relaxed tapered fit, elastic drawstring waistband, multiple flap cargo pockets, and ribbed ankle cuffs",Generate an image of black tapered cargo jogger pants,Generate an image of cargo jogger pants, ,"A photo of a Cargo Jogger Pants, on white background, high quality."
bd5f1916fbb9f9a45c5ed4c4395aef91,d78aefa9e445739db2dc4d674ad6f0f5,"An image of navy stretch-twill slim-fit ankle-length cigarette dress pants with a mid-rise waistband, pressed front creases, and discreet side pockets",Generate an image of navy slim ankle cigarette dress pants,Generate an image of cigarette pants, ,"A photo of a Pants, on white background, high quality."
d3b35fba7f798edf3fa1f9aa3c485603,ea4893fb2d346da7e6d9dcfb170a7dff,An image of white distressed denim cutoff shorts with a high-waisted fit and frayed hems,Generate an image of white high-waisted cutoff shorts,Generate an image of cutoff shorts, ,"A photo of a Denim Shorts, on white background, high quality."
c21ae1ca93c61d0e8b4146ee3a46c410,e337236632bf5bcf5cade647519d5d7b,"Generate an image of light-wash blue high-waisted denim shorts made from cotton denim, featuring a fitted waist, relaxed thigh fit, classic five-pocket styling, and a frayed raw hem",Generate an image of high-waisted light-wash denim shorts with a relaxed fit,Generate an image of denim shorts with a raw hem, ,"A photo of a Denim Shorts, on white background, high quality."
fcc63284a7d8a6e8143e691ca6716609,665ed1e8a04e958e6b829f9aff0d32fc,"Generate an image of  light blue high-waisted straight-leg jeans made of cotton denim, featuring a classic five-pocket design, zip fly with button closure, belt loops, and a relaxed straight fit",Generate an image of  high-waist straight-leg jeans in light blue denim,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
bab658560dc50a600b476fe96839af80,aed0b86239d8d23c805699b510673589,"An image of black high-waist denim shorts made from sturdy denim fabric, featuring lace-up side details and frayed hems",Generate an image of black high-waist denim shorts with lace-up sides,Generate an image of denim shorts, ,"A photo of a Denim Shorts, on white background, high quality."
ecb11dd65b3ccd605f8ee053d336e1be,04b5518dfd8d52dee8a0122e2ea7cb35,"An image of high-rise blue stretch-denim skinny jeans with a snug fit, classic five-pocket styling, and bold red fringe running down the side panels",Generate an image of blue high-rise skinny jeans with red fringe sides,Generate an image of skinny jeans, ,"A photo of a Jeans, on white background, high quality."
2671238c96ea13a0cfa395e4512b6681,6d64a9bf8041a08edfe1beea540711b7,An image of  mid-wash blue denim straight-leg jeans with cuffed hems,Generate an image of  mid-wash straight-leg jeans,Generate an image of cuffed denim jeans, ,"A photo of a Jeans, on white background, high quality."
e1f26ca6405c33b8c0e8fc06b447d898,1fa06ee481a383720427bf5e0a10d481,An image of washed black denim high-waisted tapered mom jeans with a raw hem and vintage wash,Generate an image of washed black high-waisted tapered mom jeans,Generate an image of mom jeans, ,"A photo of a Jeans, on white background, high quality."
067f5efc700ff0a00180c5669b917e96,9e631f6e499996f8f8df06af88f051a7,"An image of black cotton drawstring shorts featuring an outer-space graphic print, relaxed athletic fit, and an adjustable waistband",Generate an image of black relaxed-fit drawstring shorts with outer-space graphics,Generate an image of graphic drawstring shorts, ,"A photo of a Drawstring Shorts, on white background, high quality."
21e0d2cb5d09aa23218fadd2fe82f72d,912382fc75480b8f26c24639404109c7,"An image of a dark wash A-line denim mini skirt with a frayed hem, high-waisted fit, sturdy denim fabric, and slight flare silhouette",Generate an image of a dark wash A-line denim mini skirt,Generate an image of a denim mini skirt, ,"A photo of a Skirt, on white background, high quality."
21951f9089775c4e19d607af1bc92e9a,4bfea6ad1b124e6058f0de12ddcd4678,"An image of black tactical cargo shorts made from rugged cotton twill, relaxed fit, featuring multiple buckle pockets and reinforced seams",Generate an image of black relaxed-fit tactical cargo shorts,Generate an image of cargo shorts, ,"A photo of a Cargo Shorts, on white background, high quality."
084dd53c5756e146e047cdaa923a5d24,ffdf7319fa12c5daeb95ccc70dcbf561,"An image of olive green crinkle cotton relaxed-fit harem jogger pants featuring a drop-crotch silhouette, elastic drawstring waistband, roomy hips, and tapered ankle cuffs",Generate an image of olive green relaxed harem jogger pants,Generate an image of harem jogger pants, ,"A photo of a Harem Jogger Pants, on white background, high quality."
084dd53c5756e146e047cdaa923a5d24,ffdf7319fa12c5daeb95ccc70dcbf561,"An image of olive green crinkle cotton relaxed-fit harem jogger pants featuring a drop-crotch silhouette, elastic drawstring waistband, roomy hips, and tapered ankle cuffs",Generate an image of olive green relaxed harem jogger pants,Generate an image of harem jogger pants, ,"A photo of a Jogger Pants, on white background, high quality."
8a0054ff5425c3f86ad711223ae93306,4200ed8d423a9692fbe1769059402554,"An image of light-wash denim jeans with a high-waisted fit, flared wide legs, and classic five-pocket details",Generate an image of light-wash high-waisted flared wide-leg jeans,Generate an image of flared jeans, ,"A photo of a Jeans, on white background, high quality."
fefbb96e39efeb64d177964f64a9cc0b,1bc300e4f3c799984e941a9458257290,"Generate an image of black pinstripe tapered trousers in lightweight suiting fabric, featuring an elastic waistband, slim tailored fit, and crisp pressed creases",Generate an image of black pinstripe tapered trousers with an elastic waist,Generate an image of pinstripe trousers, ,"A photo of a Trousers, on white background, high quality."
6202b6313155fc7f05efef34b44a0ba1,1b86b0989df6f0eb0c8977e1c90d6ec3,"An image of jogger sweatpants featuring black and olive color-blocked panels, soft fleece fabric, tapered fit with elastic cuffs, and a bold white side stripe",Generate an image of black and olive jogger sweatpants in a tapered fit with a white side stripe,Generate an image of jogger sweatpants with a side stripe, ,"A photo of a Sweatpants, on white background, high quality."
d5a4e459e5da41a04cd8a17dc1ccc838,0f154da54ddfe10317df0432f0d31f5d,Generate an image of  blue straight-leg cotton denim jeans with cuffed hems and frayed side seams,Generate an image of blue straight-leg denim jeans,Generate an image of straight-leg jeans, ,"A photo of a Jeans, on white background, high quality."
